// Size 13, 2D
7,13,0,,0000000000000001100000111110001111000110000000000
7,13,0,,0000000000011000011100011110011110000000000000000

// 15, 2D
8,15,0,,0000000000000000000110000111110000111110000011100000000000000000
7,15,0,,0000000011110001001000100100011110001101000000000

// 16, wrap
6,16,1,,100011110011011000001100000110100011
6,16,1,,011100011000110001110001011000011100
6,16,1,,110110000100111101000001100001100110
6,16,1,,000001000011000110001111011111000101

// 40, wrap 3D
6,40,1,100011100111101101111001110001100001,100011100111101101111001110001100001

// Glitch
3,20,0,000000010,000010000
